"CrewID","EventID","Event Identity","Event Override Name","Division Assigned","Submitting Club Index","Submitting Club","Crew Name","Entry Status","Composite","CompositeCode","CrewLetter","CompetitionNotes","Position In Event","Raw Time","Time","Status","Rowing CRI","Rowing CRI Max","Sculling CRI","Sculling CRI Max","Coxing CRI","Coxing CRI Max","Band Name","Group","Baseline Rowing CRI","Baseline Rowing CRI Max","Baseline Sculling CRI","Baseline Sculling CRI Max","Baseline Coxing CRI","Baseline Coxing CRI Max",
"1037088","125163","MasD.8+","Op MasD 8+","","MAR","Marlow Rowing Club","MAR-FURNESS","Accepted","N","","","","","","","","640","876","36","185","91","91","","","640","876","36","185","91","91",
"1037173","125163","MasD.8+","Op MasD 8+","","TKC","Team Keane Sculling School","TKC-VALDINI","Accepted","N","","B","","","","","","24","53","27","35","11","21","","","24","53","27","35","11","21",
"1037248","125163","MasD.8+","Op MasD 8+","","BED","Bedford Rowing Club","BED-STAR-Chillingsworth","Accepted","N","","","","","","","","112","114","10","25","14","14","","","112","114","10","25","14","14",
"1037666","125163","MasD.8+","Op MasD 8+","","TRC","Thames Rowing Club","TRC-TUNNAH","Accepted","N","","C","","","","","","951","1233","134","180","0","0","","","951","1233","134","180","22","172",
"1037840","125163","MasD.8+","Op MasD 8+","","WEY","Weybridge Rowing Club","WEY-THOMAS","Accepted","N","","","","","","","","1096","1330","543","667","184","211","","","1096","1330","543","667","184","211",
"1037942","125163","MasD.8+","Op MasD 8+","","SON","Sons of the Thames Rowing Club","SON-MACLACHLAN","Accepted","N","","B","","","","","","1003","1921","635","691","45","52","","","1003","1921","635","691","45","52",
"1037994","125163","MasD.8+","Op MasD 8+","","PET","Peterborough City Rowing Club","PET-BAILE","Accepted","N","","","","","","","","35","59","13","29","5","8","","","35","59","13","29","5","8",
"1038007","125163","MasD.8+","Op MasD 8+","","TYN","Tyne Amateur Rowing Club","TYN-ROUTLEDGE","Accepted","N","","","","","","","","308","387","682","772","0","0","","","308","387","682","772","0","0",
"1038008","125163","MasD.8+","Op MasD 8+","","TYN","Tyne Amateur Rowing Club","TYN-HUNTER","Accepted","N","","","","","","","","138","177","157","222","19","19","","","138","177","157","222","19","19",
"1038021","125163","MasD.8+","Op MasD 8+","","CAB","Cantabrigian Rowing Club","CAB-HUNTERS","Accepted","N","","C","","","","","","0","0","0","0","26","104","","","0","0","0","0","26","104",
