"CrewID","EventID","Event Identity","Event Override Name","Division Assigned","Submitting Club Index","Submitting Club","Crew Name","Entry Status","Composite","CompositeCode","CrewLetter","CompetitionNotes","Position In Event","Raw Time","Time","Status","Rowing CRI","Rowing CRI Max","Sculling CRI","Sculling CRI Max","Coxing CRI","Coxing CRI Max","Band Name","Group",
"1038163","125163","MasD.8+","Op MasD 8+","","DAT","Dart-Totnes Amateur Rowing Club","DAT-SPEED","Accepted","N","","","","","","","","160","1280","0","0","5","20","","",
"1038760","125163","MasD.8+","Op MasD 8+","","MAV","Maidstone Invicta Rowing Club","MAV-CHAPMAN","Submitted","N","","A","","","","","","398","438","427","437","53","53","","",
"1035212","125164","MasE.8+","Op MasE 8+","","WAR","Warwick Boat Club","WAR-MORDAUNT","Accepted","N","","","","","","","","135","228","53","78","1","4","","",
"1035415","125164","MasE.8+","Op MasE 8+","","MHD","Maidenhead Rowing Club","MHD-STEEL","Accepted","N","","","","","","","","269","606","211","295","6","12","","",
"1035454","125164","MasE.8+","Op MasE 8+","","GLR","Gloucester Rowing Club","GLR-VENN","Submitted","N","","","","","","","","553","781","166","199","28","112","","",
"1035616","125164","MasE.8+","Op MasE 8+","","ABN","Abingdon Rowing Club","ABN-TROUP","Accepted","N","","","","","","","","1360","1398","366","503","211","211","","",
"1036139","125164","MasE.8+","Op MasE 8+","","ZWF","Akademische Ruderverbindung ""Westfalen""","ARV 508","Accepted","N","","","","","","","","0","0","0","0","0","0","","",
"1036211","125164","MasE.8+","Op MasE 8+","","STA","Star Club","STA-HUNT","Accepted","N","","","","","","","","1535","1535","41","59","88","88","","",
"1036432","125164","MasE.8+","Op MasE 8+","","TTR","Thames Tradesmen's Rowing Club","Carpenter","Accepted","N","","","","","","","","820","1604","41","101","15","39","","",
"1036473","125164","MasE.8+","Op MasE 8+","","KRC","Kingston Rowing Club","KRC-WORTHINGTON","Submitted","N","","","","","","","","464","634","78","145","220","220","","",
"1036575","125164","MasE.8+","Op MasE 8+","","PET","Peterborough City Rowing Club","PET-RYDER","Accepted","N","","","","","","","","131","330","447","462","42","42","","",
"1036759","125164","MasE.8+","Op MasE 8+","","MON","Monmouth Rowing Club","Mon-Barnett","Accepted","N","","","","","","","","1402","1414","18","69","294","294","","",
"1036845","125164","MasE.8+","Op MasE 8+","","SRC","Sudbury Rowing Club","SRC-ADAMS","Accepted","N","","","","","","","","232","235","67","94","36","36","","",
"1036857","125164","MasE.8+","Op MasE 8+","","CYG","Cygnet Rowing Club","CYG-WHELDAL","Accepted","N","","","","","","","","189","242","80","212","42","112","","",
"1037074","125164","MasE.8+","Op MasE 8+","","ZBT","Rg Benrath","RG Benrath","Accepted","N","","","","","","","","264","2112","0","0","33","264","","",
"1037087","125164","MasE.8+","Op MasE 8+","","MAR","Marlow Rowing Club","MAR-KENT","Submitted","N","","","","","","","","776","1001","69","200","258","258","","",
"1037258","125164","MasE.8+","Op MasE 8+","","GRO","Grosvenor Rowing Club, Chester","GRO - Bancroft","Accepted","N","","","","","","","","1459","1474","500","664","65","65","","",
"1037323","125164","MasE.8+","Op MasE 8+","","SHO","Shoreham Rowing Club","SHO-BAILEY","Accepted","Y","SHO/BNT","","","","","","","152","449","308","395","0","0","","",
"1037395","125164","MasE.8+","Op MasE 8+","","WLT","Walton Rowing Club","WLT-EVERINGTON","Accepted","N","","A","","","","","","1226","1621","636","937","29","116","","",
"1037433","125164","MasE.8+","Op MasE 8+","","ZDS","Danske Studenters Roklub","DSR Veterans","Accepted","N","","","","","","","","133","1064","0","0","0","0","","",
"1037546","125164","MasE.8+","Op MasE 8+","","UPT","Upton Rowing Club","UPT-ROOKSBY","Accepted","N","","","","","","","","64","197","23","48","0","0","","",
"1037547","125164","MasE.8+","Op MasE 8+","","LRC","London Rowing Club","LRC-HARRIS","Accepted","N","","","","","","","","2796","3296","733","1586","443","443","","",
"1037743","125164","MasE.8+","Op MasE 8+","","QBC","Quintin Boat Club","Bar Flies","Accepted","N","","","","","","","","43","117","3","24","51","68","","",
"1037763","125164","MasE.8+","Op MasE 8+","","RCH","Royal Chester Rowing Club","RCH-STEPHENS","Accepted","N","","","","","","","","803","900","465","529","14","27","","",
"1037839","125164","MasE.8+","Op MasE 8+","","REX","Rex Boat Club","REX-Menzies","Accepted","N","","","","","","","","9","35","3","16","2","8","","",
"1037890","125164","MasE.8+","Op MasE 8+","","MBC","Molesey Boat Club","MBC-BOWMAN","Submitted","N","","","","","","","","974","1566","863","951","10","80","","",
"1038100","125164","MasE.8+","Op MasE 8+","","BRX","Broxbourne Rowing Club","Hosking luggers","Accepted","N","","","","","","","","269","286","22","89","0","0","","",
"1038114","125164","MasE.8+","Op MasE 8+","","WLT","Walton Rowing Club","WLT-GILLESPIE","Accepted","N","","","","","","","","78","121","71","201","0","0","","",
"1038479","125164","MasE.8+","Op MasE 8+","","ARD","Ardingly Rowing Club","ARD-BANKS","Accepted","N","","","","","","","","639","795","1652","1652","0","0","","",
"1035643","125165","MasF.8+","Op MasF 8+","","CHA","Champion Of The Thames (Cambridge) RC","Dreadnoughts","Accepted","N","","B","","","","","","49","162","0","0","0","0","","",
"1035772","125165","MasF.8+","Op MasF 8+","","ZWV","Wassersportverein Waldshut","WALDSHUT WV","Accepted","N","","","","","","","","96","768","0","0","0","0","","",
