"Crew ID","Crew Name","Event ID","Event Identity","Actual Masters Crew Category","Composite","Composite Code","Submitting Club","Submitting Club Index",
"1029531","BTC-GREEN","118811","MasI.1x","I","N","","B T C  (Southampton) Rowing Club","BTC",
"1027138","Ferlez","118814","W.MasA.1x","A","N","","Weybridge Rowing Club","WEY",
"1027667","BBL-KUNERT","118814","W.MasA.1x","A","N","","Barnes Bridge Ladies Rowing Club","BBL",
"1028010","MON-THOMAS","118814","W.MasA.1x","A","N","","Monmouth Rowing Club","MON",
"1028067","ABN-HALL","118814","W.MasA.1x","A","N","","Abingdon Rowing Club","ABN",
"1029004","YRK-REZACOVA","118814","W.MasA.1x","A","N","","York City Rowing Club","YRK",
"1029125","TSS-WALTERS","118814","W.MasA.1x","A","N","","Tideway Scullers School","TSS",
"1029190","PTR-SHEPHERD","118814","W.MasA.1x","A","N","","Putney Town Rowing Club","PTR",
"1029621","TSS-NORGATE","118814","W.MasA.1x","A","N","","Tideway Scullers School","TSS",
"1026910","TRC-HARRIS","118815","W.MasB.1x","B","N","","Thames Rowing Club","TRC",
"1027084","BBL-BALDWIN","118815","W.MasB.1x","B","N","","Barnes Bridge Ladies Rowing Club","BBL",
"1027244","WLT-JACKSON","118815","W.MasB.1x","B","N","","Walton Rowing Club","WLT",
"1027680","TSS-EISDELL","118815","W.MasB.1x","B","N","","Tideway Scullers School","TSS",
"1027812","RDG-REEMAN","118815","W.MasB.1x","B","N","","Reading Rowing Club","RDG",
"1027930","TKC-KEANE-2","118815","W.MasB.1x","B","N","","Team Keane Sculling School","TKC",
"1028206","LEA-BENSON-SKAILES","118815","W.MasB.1x","B","N","","Lea Rowing Club","LEA",
"1028416","EXE-SANDERS","118815","W.MasB.1x","B","N","","Exeter Rowing Club Ltd","EXE",
"1029050","ABN-ASHTON","118815","W.MasB.1x","B","N","","Abingdon Rowing Club","ABN",
"1029154","TSS-STUTTERS","118815","W.MasB.1x","B","N","","Tideway Scullers School","TSS",
"1029191","PTR-CARBOO","118815","W.MasB.1x","B","N","","Putney Town Rowing Club","PTR",
"1029690","CFC-MARSHALL","118815","W.MasB.1x","B","N","","Cardiff City Rowing Club","CFC",
"1026673","MAA-RAMSDEN","118816","W.MasC.1x","C","N","","Mortlake Anglian & Alpha Boat Club","MAA",
"1027010","ETX-SIMPSON","118816","W.MasC.1x","C","N","","Eton Excelsior Rowing Club","ETX",
"1027083","BBL-POWELL","118816","W.MasC.1x","C","N","","Barnes Bridge Ladies Rowing Club","BBL",
"1027505","MAA-CASSINI","118816","W.MasC.1x","C","N","","Mortlake Anglian & Alpha Boat Club","MAA",
"1027669","MAA-BRASS","118816","W.MasC.1x","C","N","","Mortlake Anglian & Alpha Boat Club","MAA",
"1027785","TKC-PONTES DE FREITAS","118816","W.MasC.1x","C","N","","Team Keane Sculling School","TKC",
"1027872","STA-ARMSTRONG","118816","W.MasC.1x","C","N","","Star Club","STA",
"1028544","Christy Job","118816","W.MasC.1x","C","N","","Wallingford Rowing Club","WRC",
"1028762","AKN-RAFFAELE","118816","W.MasC.1x","C","N","","Auriol Kensington Rowing Club","AKN",
"1028962","CBR-FULLMAN","118816","W.MasC.1x","C","N","","Bristol, City of, Rowing Club","CBR",
"1028996","WLT-POOLE","118816","W.MasC.1x","C","N","","Walton Rowing Club","WLT",
"1029510","HSB-NIDAI","118816","W.MasC.1x","C","N","","HSBC Rowing Club","HSB",
"1029553","VRC-LALIBERTE","118816","W.MasC.1x","C","N","","Vesta Rowing Club","VRC",
"1027002","LEA-SNAITH","118817","W.MasD.1x","D","N","","Lea Rowing Club","LEA",
"1027250","TWK-FADLON","118817","W.MasD.1x","D","N","","Twickenham Rowing Club","TWK",
"1027283","TSS-HICKMOTT","118817","W.MasD.1x","D","N","","Tideway Scullers School","TSS",
"1027673","TSS-ROBINS","118817","W.MasD.1x","D","N","","Tideway Scullers School","TSS",
"1027675","MAR-RICE","118817","W.MasD.1x","D","N","","Marlow Rowing Club","MAR",
"1027695","ABN-BAKER-2","118817","W.MasD.1x","D","N","","Abingdon Rowing Club","ABN",
"1028863","ETX-JOHNSON","118817","W.MasD.1x","D","N","","Eton Excelsior Rowing Club","ETX",
"1028916","WLT-FLOWERDEW","118817","W.MasD.1x","D","N","","Walton Rowing Club","WLT",
"1029005","YRK-HOMA","118817","W.MasD.1x","D","N","","York City Rowing Club","YRK",
"1029631","MAR-ALLARD","118817","W.MasD.1x","D","N","","Marlow Rowing Club","MAR",
"1026676","MAA-BELL-SYER","118818","W.MasE.1x","E","N","","Mortlake Anglian & Alpha Boat Club","MAA",
"1026798","klok","118818","W.MasE.1x","E","N","","Thyro Rowing Club","",
"1026884","GLB-HILL","118818","W.MasE.1x","E","N","","Globe Rowing Club","GLB",
"1026980","HEN-MEHERS","118818","W.MasE.1x","E","N","","Henley Rowing Club","HEN",
"1027023","BEB-MORRIS","118818","W.MasE.1x","E","N","","Bewl Bridge Rowing Club","BEB",
"1027259","AKN-SARGENT","118818","W.MasE.1x","E","N","","Auriol Kensington Rowing Club","AKN",
"1027263","MAA-DALE","118818","W.MasE.1x","E","N","","Mortlake Anglian & Alpha Boat Club","MAA",
"1027313","TSS-JARMAN","118818","W.MasE.1x","E","N","","Tideway Scullers School","TSS",
"1027546","CHA-MILLS","118818","W.MasE.1x","E","N","","Champion Of The Thames (Cambridge) RC","CHA",
"1027574","TSS-FRENCH","118818","W.MasE.1x","E","N","","Tideway Scullers School","TSS",
"1028507","LEA-RINGSHAW","118818","W.MasE.1x","E","N","","Lea Rowing Club","LEA",
"1028687","NOR-BARNACLE","118818","W.MasE.1x","E","N","","Norwich Rowing Club","NOR",
"1028732","BRX-TAYLOR","118818","W.MasE.1x","E","N","","Broxbourne Rowing Club","BRX",
"1029192","PTR-MORTIMER","118818","W.MasE.1x","E","N","","Putney Town Rowing Club","PTR",
"1029670","EXE-WOOD","118818","W.MasE.1x","E","N","","Exeter Rowing Club Ltd","EXE",
"1027251","TWK-ALMOND","118819","W.MasF.1x","F","N","","Twickenham Rowing Club","TWK",
"1028864","ETX-ARION","118819","W.MasF.1x","F","N","","Eton Excelsior Rowing Club","ETX",
"1029193","PTR-STOYEL","118819","W.MasF.1x","F","N","","Putney Town Rowing Club","PTR",
"1027284","TSS-SIXSMITH","118820","W.MasG.1x","G","N","","Tideway Scullers School","TSS",
"1029301","WBK-EGGEMAN","118820","W.MasG.1x","G","N","","Walbrook Rowing Club","WBK",
