"CrewID","EventID","Event Identity","Event Override Name","Division Assigned","Submitting Club Index","Submitting Club","Crew Name","Composite","CompositeCode","CrewLetter","CompetitionNotes","Position In Event","Raw Time","Time","Status","Rowing CRI","Rowing CRI Max","Sculling CRI","Sculling CRI Max","Baseline Rowing CRI","Baseline Rowing CRI Max","Baseline Sculling CRI","Baseline Sculling CRI Max",
"1029198","118798","J17.1x","Op J17 1x","","RDH","Radnor House School Rowing Club","RDH-GHATTAS","N","","","","","","","","0","0","57","57","0","0","57","57",
"1026820","118792","Lwt.1x","Op Lwt 1x","","GLB","Globe Rowing Club","GLB-NORIEL","N","","","","","","","","49","98","80","80","49","98","80","80",
"1027662","118792","Lwt.1x","Op Lwt 1x","","BED","Bedford Rowing Club","BED-GLASSPOOL","N","","","","","","","","48","48","35","56","48","48","35","56",
"1027692","118792","Lwt.1x","Op Lwt 1x","","LEA","Lea Rowing Club","LEA-RANOCCHI","N","","","","","","","","32","86","12","96","32","86","12","96",
"1027783","118792","Lwt.1x","Op Lwt 1x","","MBC","Molesey Boat Club","MBC-BOYER","N","","","","","","","","189","303","180","180","189","303","180","180",
"1028061","118792","Lwt.1x","Op Lwt 1x","","TRC","Thames Rowing Club","TRC-MORRIS","N","","","","","","","","766","766","263","526","766","766","263","526",
"1028226","118792","Lwt.1x","Op Lwt 1x","","PBD","Poplar Blackwall & District Rowing Club","PBD-WADE","N","","","","","","","","24","94","154","154","24","94","154","154",
"1028289","118792","Lwt.1x","Op Lwt 1x","","PBD","Poplar Blackwall & District Rowing Club","PBD-EVANS","N","","","","","","","","0","0","177","177","0","0","177","177",
"1028512","118792","Lwt.1x","Op Lwt 1x","","MBC","Molesey Boat Club","MBC-TUCK","N","","","","","","","","559","559","249","332","559","559","249","332",
"1028529","118792","Lwt.1x","Op Lwt 1x","","ZPO","Sporting Clube de Portugal","ZPO-FRAGA","N","","","","","","","","0","0","97","774","0","0","97","774",
"1028530","118792","Lwt.1x","Op Lwt 1x","","ZPO","Sporting Clube de Portugal","ZPO-MENDES","N","","","","","","","","0","0","93","742","0","0","93","742",
"1028586","118792","Lwt.1x","Op Lwt 1x","","UTC","Upper Thames Rowing Club","UTC-HANSON","N","","","","","","","","239","239","392","523","239","239","392","523",
"1028711","118792","Lwt.1x","Op Lwt 1x","","TSS","Tideway Scullers School","TSS-BRUCE","N","","","","","","","","26","208","74","98","26","208","74","98",
"1028716","118792","Lwt.1x","Op Lwt 1x","","TSS","Tideway Scullers School","TSS-JENKINS","N","","","","","","","","210","336","79","157","210","336","79","157",
"1028725","118792","Lwt.1x","Op Lwt 1x","","TSS","Tideway Scullers School","TSS-VAN DIGGELE","N","","","","","","","","127","204","72","285","127","204","72","285",
"1028944","118792","Lwt.1x","Op Lwt 1x","","AKN","Auriol Kensington Rowing Club","AKN-BURMESTER","N","","","","","","","","38","102","20","54","38","102","20","54",
"1028956","118792","Lwt.1x","Op Lwt 1x","","TRC","Thames Rowing Club","TRC-WALLER","N","","","","","","","","612","612","136","271","612","612","136","271",
"1029189","118792","Lwt.1x","Op Lwt 1x","","DAT","Dart-Totnes Amateur Rowing Club","DAT-SKINNER","N","","","","","","","","39","78","43","43","39","78","43","43",
"1029288","118792","Lwt.1x","Op Lwt 1x","","WOO","Wolfson College (Oxford) Boat Club","WOO-SCHÄFER","N","","","","","","","","68","136","118","118","68","136","118","118",
